opponent, outcome, home/away, team1
Pittsburgh, W, N,Michigan
Kansas St., W, N,Michigan
North Carolina St., W, H,Michigan
Bradley, W, A,Michigan
Western Michigan, W, H,Michigan
Arkansas, W, H,Michigan
Binghamton, W, H,Michigan
West Virginia, W, N,Michigan
Eastern Michigan, W, H,Michigan
Central Michigan, W, H,Michigan
Northwestern, W, A,Michigan
Iowa, W, H,Michigan
Nebraska, W, H,Michigan
Ohio St., L, A,Michigan
Minnesota, W, A,Michigan
Purdue, W, H,Michigan
Illinois, W, A,Michigan
Northwestern, W, H,Michigan
Indiana, L, A,Michigan
Ohio St., W, H,Michigan
Wisconsin, L, A,Michigan
Michigan St., L, A,Michigan
Penn St., W, H,Michigan
Illinois, W, H,Michigan
Penn St., L, A,Michigan
Michigan St., W, H,Michigan
Purdue, W, A,Michigan
Indiana, L, H,Michigan
Penn St., W, N,Michigan
Wisconsin, L, N,Michigan
South Dakota St., W, N,Michigan
VCU, W, N,Michigan
Kansas, W, N,Michigan
Florida, W, N,Michigan
Syracuse, W, N,Michigan
Louisville, L, N,Michigan
Southern Utah, W, H,Gonzaga
West Virginia, W, H,Gonzaga
South Dakota, W, H,Gonzaga
Clemson, W, N,Gonzaga
Oklahoma, W, N,Gonzaga
Davidson, W, N,Gonzaga
Pacific, W, H,Gonzaga
Washington St., W, A,Gonzaga
Illinois, L, H,Gonzaga
Kansas St., W, H,Gonzaga
Campbell, W, H,Gonzaga
Baylor, W, H,Gonzaga
Oklahoma St., W, A,Gonzaga
Pepperdine, W, A,Gonzaga
Santa Clara, W, A,Gonzaga
Saint Mary's, W, H,Gonzaga
Portland, W, A,Gonzaga
Butler, L, A,Gonzaga
BYU, W, H,Gonzaga
San Francisco, W, H,Gonzaga
Loyola Marymount, W, A,Gonzaga
San Diego, W, A,Gonzaga
Pepperdine, W, H,Gonzaga
Loyola Marymount, W, H,Gonzaga
Saint Mary's, W, A,Gonzaga
San Francisco, W, A,Gonzaga
Santa Clara, W, H,Gonzaga
San Diego, W, H,Gonzaga
BYU, W, A,Gonzaga
Portland, W, H,Gonzaga
Loyola Marymount, W, N,Gonzaga
Saint Mary's, W, N,Gonzaga
Southern, W, N,Gonzaga
Wichita St., L, N,Gonzaga
Georgia St., W, H,Duke
Kentucky, W, N,Duke
Florida Gulf Coast, W, H,Duke
Minnesota, W, N,Duke
VCU, W, N,Duke
Louisville, W, N,Duke
Ohio St., W, H,Duke
Delaware, W, H,Duke
Temple, W, N,Duke
Cornell, W, H,Duke
Elon, W, H,Duke
Santa Clara, W, H,Duke
Davidson, W, N,Duke
Wake Forest, W, H,Duke
Clemson, W, H,Duke
North Carolina St., L, A,Duke
Georgia Tech, W, H,Duke
Miami FL, L, A,Duke
Maryland, W, H,Duke
Wake Forest, W, A,Duke
Florida St., W, A,Duke
North Carolina St., W, H,Duke
Boston College, W, A,Duke
North Carolina, W, H,Duke
Maryland, L, A,Duke
Virginia Tech, W, A,Duke
Boston College, W, H,Duke
Virginia, L, A,Duke
Miami FL, W, H,Duke
Virginia Tech, W, H,Duke
North Carolina, W, A,Duke
Maryland, L, N,Duke
Albany, W, N,Duke
Creighton, W, N,Duke
Michigan St., W, N,Duke
Louisville, L, N,Duke
Albany, W, H,Ohio St.
Rhode Island, W, N,Ohio St.
Washington, W, N,Ohio St.
UMKC, W, H,Ohio St.
Duke, L, A,Ohio St.
Northern Kentucky, W, H,Ohio St.
Long Beach St., W, H,Ohio St.
Savannah St., W, H,Ohio St.
UNC Asheville, W, H,Ohio St.
Winthrop, W, H,Ohio St.
Kansas, L, H,Ohio St.
Chicago St., W, H,Ohio St.
Nebraska, W, H,Ohio St.
Illinois, L, A,Ohio St.
Purdue, W, A,Ohio St.
Michigan, W, H,Ohio St.
Michigan St., L, A,Ohio St.
Iowa, W, H,Ohio St.
Penn St., W, A,Ohio St.
Wisconsin, W, H,Ohio St.
Nebraska, W, A,Ohio St.
Michigan, L, A,Ohio St.
Indiana, L, H,Ohio St.
Northwestern, W, H,Ohio St.
Wisconsin, L, A,Ohio St.
Minnesota, W, H,Ohio St.
Michigan St., W, H,Ohio St.
Northwestern, W, A,Ohio St.
Indiana, W, A,Ohio St.
Illinois, W, H,Ohio St.
Nebraska, W, N,Ohio St.
Michigan St., W, N,Ohio St.
Wisconsin, W, N,Ohio St.
Iona, W, N,Ohio St.
Iowa St., W, N,Ohio St.
Arizona, W, N,Ohio St.
Wichita St., L, N,Ohio St.
Southeast Missouri St., W, H,Kansas
Michigan St., L, N,Kansas
Chattanooga, W, H,Kansas
Washington St., W, H,Kansas
Saint Louis, W, H,Kansas
San Jose St., W, H,Kansas
Oregon St., W, H,Kansas
Colorado, W, H,Kansas
Belmont, W, H,Kansas
Richmond, W, H,Kansas
Ohio St., W, A,Kansas
American, W, H,Kansas
Temple, W, H,Kansas
Iowa St., W, H,Kansas
Texas Tech, W, A,Kansas
Baylor, W, H,Kansas
Texas, W, A,Kansas
Kansas St., W, A,Kansas
Oklahoma, W, H,Kansas
West Virginia, W, A,Kansas
Oklahoma St., L, H,Kansas
TCU, L, A,Kansas
Oklahoma, L, A,Kansas
Kansas St., W, H,Kansas
Texas, W, H,Kansas
Oklahoma St., W, A,Kansas
TCU, W, H,Kansas
Iowa St., W, A,Kansas
West Virginia, W, H,Kansas
Texas Tech, W, H,Kansas
Baylor, L, A,Kansas
Texas Tech, W, H,Kansas
Iowa St., W, H,Kansas
Kansas St., W, N,Kansas
Western Kentucky, W, H,Kansas
North Carolina, W, H,Kansas
Michigan, L, N,Kansas
San Diego St., W, A,Syracuse
Wagner, W, H,Syracuse
Princeton, W, H,Syracuse
Colgate, W, H,Syracuse
Arkansas, W, A,Syracuse
Eastern Michigan, W, H,Syracuse
Long Beach St., W, H,Syracuse
Monmouth, W, H,Syracuse
Canisius, W, H,Syracuse
Detroit, W, H,Syracuse
Temple, L, N,Syracuse
Alcorn St., W, H,Syracuse
Central Connecticut, W, H,Syracuse
Rutgers, W, H,Syracuse
South Florida, W, A,Syracuse
Providence, W, A,Syracuse
Villanova, W, H,Syracuse
Louisville, W, A,Syracuse
Cincinnati, W, H,Syracuse
Villanova, L, A,Syracuse
Pittsburgh, L, A,Syracuse
Notre Dame, W, H,Syracuse
St. John's, W, H,Syracuse
Connecticut, L, A,Syracuse
Seton Hall, W, A,Syracuse
Providence, W, H,Syracuse
Georgetown, L, H,Syracuse
Marquette, L, A,Syracuse
Louisville, L, H,Syracuse
DePaul, W, H,Syracuse
Georgetown, L, A,Syracuse
Seton Hall, W, N,Syracuse
Pittsburgh, W, N,Syracuse
Georgetown, W, N,Syracuse
Louisville, L, N,Syracuse
Montana, W, N,Syracuse
California, W, N,Syracuse
Indiana, W, N,Syracuse
Marquette, W, N,Syracuse
Michigan, L, N,Syracuse
Connecticut, L, N,Michigan St.
Kansas, W, N,Michigan St.
Texas Southern, W, H,Michigan St.
Boise St., W, H,Michigan St.
Oakland, W, H,Michigan St.
Louisiana Lafayette, W, H,Michigan St.
Miami FL, L, A,Michigan St.
Nicholls St., W, H,Michigan St.
Arkansas Pine Bluff, W, H,Michigan St.
Loyola Chicago, W, H,Michigan St.
Bowling Green, W, A,Michigan St.
Texas, W, H,Michigan St.
Minnesota, L, A,Michigan St.
Purdue, W, H,Michigan St.
Iowa, W, A,Michigan St.
Nebraska, W, H,Michigan St.
Penn St., W, A,Michigan St.
Ohio St., W, H,Michigan St.
Wisconsin, W, A,Michigan St.
Indiana, L, A,Michigan St.
Illinois, W, H,Michigan St.
Minnesota, W, H,Michigan St.
Purdue, W, A,Michigan St.
Michigan, W, H,Michigan St.
Nebraska, W, A,Michigan St.
Indiana, L, H,Michigan St.
Ohio St., L, A,Michigan St.
Michigan, L, A,Michigan St.
Wisconsin, W, H,Michigan St.
Northwestern, W, H,Michigan St.
Iowa, W, N,Michigan St.
Ohio St., L, N,Michigan St.
Valparaiso, W, N,Michigan St.
Memphis, W, N,Michigan St.
Duke, L, N,Michigan St.
Mount St. Mary's, W, H,Pittsburgh
Fordham, W, H,Pittsburgh
Lehigh, W, H,Pittsburgh
Oakland, W, H,Pittsburgh
Michigan, L, N,Pittsburgh
Delaware, W, N,Pittsburgh
Howard, W, H,Pittsburgh
Detroit, W, H,Pittsburgh
Duquesne, W, N,Pittsburgh
North Florida, W, H,Pittsburgh
Bethune Cookman, W, H,Pittsburgh
Delaware St., W, H,Pittsburgh
Kennesaw St., W, H,Pittsburgh
Cincinnati, L, H,Pittsburgh
Rutgers, L, A,Pittsburgh
Georgetown, W, A,Pittsburgh
Marquette, L, H,Pittsburgh
Villanova, W, A,Pittsburgh
Connecticut, W, H,Pittsburgh
Providence, W, A,Pittsburgh
DePaul, W, H,Pittsburgh
Louisville, L, A,Pittsburgh
Syracuse, W, H,Pittsburgh
Seton Hall, W, H,Pittsburgh
Cincinnati, W, A,Pittsburgh
Marquette, L, A,Pittsburgh
Notre Dame, L, H,Pittsburgh
St. John's, W, A,Pittsburgh
South Florida, W, H,Pittsburgh
Villanova, W, H,Pittsburgh
DePaul, W, A,Pittsburgh
Syracuse, L, N,Pittsburgh
Wichita St., L, N,Pittsburgh
Southeastern Louisiana, W, H,Wisconsin
Florida, L, A,Wisconsin
Cornell, W, H,Wisconsin
Presbyterian, W, H,Wisconsin
Creighton, L, N,Wisconsin
Arkansas, W, N,Wisconsin
Virginia, L, H,Wisconsin
California, W, H,Wisconsin
Nebraska Omaha, W, H,Wisconsin
Marquette, L, A,Wisconsin
Green Bay, W, H,Wisconsin
Milwaukee, W, H,Wisconsin
Samford, W, H,Wisconsin
Penn St., W, H,Wisconsin
Nebraska, W, A,Wisconsin
Illinois, W, H,Wisconsin
Indiana, W, A,Wisconsin
Iowa, L, A,Wisconsin
Michigan St., L, H,Wisconsin
Minnesota, W, H,Wisconsin
Ohio St., L, A,Wisconsin
Illinois, W, A,Wisconsin
Iowa, W, H,Wisconsin
Michigan, W, H,Wisconsin
Minnesota, L, A,Wisconsin
Ohio St., W, H,Wisconsin
Northwestern, W, A,Wisconsin
Nebraska, W, H,Wisconsin
Purdue, L, H,Wisconsin
Michigan St., L, A,Wisconsin
Penn St., W, A,Wisconsin
Michigan, W, N,Wisconsin
Indiana, W, N,Wisconsin
Ohio St., L, N,Wisconsin
Mississippi, L, N,Wisconsin
Stetson, W, H,Miami FL
Florida Gulf Coast, L, A,Miami FL
Jacksonville, W, H,Miami FL
Detroit, W, H,Miami FL
Michigan St., W, H,Miami FL
Massachusetts, W, A,Miami FL
Charlotte, W, H,Miami FL
UCF, W, A,Miami FL
Hawaii, W, A,Miami FL
Arizona, L, N,Miami FL
Indiana St., L, N,Miami FL
La Salle, W, H,Miami FL
Georgia Tech, W, A,Miami FL
North Carolina, W, A,Miami FL
Maryland, W, H,Miami FL
Boston College, W, A,Miami FL
Duke, W, H,Miami FL
Florida St., W, H,Miami FL
Virginia Tech, W, A,Miami FL
North Carolina St., W, A,Miami FL
Boston College, W, H,Miami FL
North Carolina, W, H,Miami FL
Florida St., W, A,Miami FL
Clemson, W, A,Miami FL
Virginia, W, H,Miami FL
Wake Forest, L, A,Miami FL
Virginia Tech, W, H,Miami FL
Duke, L, A,Miami FL
Georgia Tech, L, H,Miami FL
Clemson, W, H,Miami FL
Boston College, W, N,Miami FL
North Carolina St., W, N,Miami FL
North Carolina, W, N,Miami FL
Pacific, W, N,Miami FL
Illinois, W, N,Miami FL
Marquette, L, N,Miami FL
Charleston Southern, W, H,Arizona
UTEP, W, H,Arizona
Long Beach St., W, H,Arizona
Northern Arizona, W, H,Arizona
Texas Tech, W, A,Arizona
Southern Miss, W, H,Arizona
Clemson, W, A,Arizona
Florida, W, H,Arizona
Oral Roberts, W, H,Arizona
East Tennessee St., W, N,Arizona
Miami FL, W, N,Arizona
San Diego St., W, N,Arizona
Colorado, W, H,Arizona
Utah, W, H,Arizona
Oregon, L, A,Arizona
Oregon St., W, A,Arizona
Arizona St., W, A,Arizona
UCLA, L, H,Arizona
USC, W, H,Arizona
Washington, W, A,Arizona
Washington St., W, A,Arizona
Stanford, W, H,Arizona
California, L, H,Arizona
Colorado, L, A,Arizona
Utah, W, A,Arizona
Washington, W, H,Arizona
Washington St., W, H,Arizona
USC, L, A,Arizona
UCLA, L, A,Arizona
Arizona St., W, H,Arizona
Colorado, W, N,Arizona
UCLA, L, N,Arizona
Belmont, W, N,Arizona
Harvard, W, N,Arizona
Ohio St., L, N,Arizona
North Texas, W, H,Creighton
UAB, W, H,Creighton
Presbyterian, W, H,Creighton
Longwood, W, H,Creighton
Wisconsin, W, N,Creighton
Arizona St., W, N,Creighton
Boise St., L, H,Creighton
Saint Joseph's, W, H,Creighton
Nebraska, W, A,Creighton
Akron, W, H,Creighton
California, W, A,Creighton
Tulsa, W, H,Creighton
Evansville, W, H,Creighton
Illinois St., W, A,Creighton
Indiana St., W, H,Creighton
Drake, W, H,Creighton
Missouri St., W, A,Creighton
Northern Iowa, W, H,Creighton
Wichita St., L, A,Creighton
Drake, L, A,Creighton
Southern Illinois, W, A,Creighton
Missouri St., W, H,Creighton
Bradley, W, H,Creighton
Indiana St., L, A,Creighton
Illinois St., L, H,Creighton
Northern Iowa, L, A,Creighton
Evansville, W, A,Creighton
Southern Illinois, W, H,Creighton
Saint Mary's, L, A,Creighton
Bradley, W, A,Creighton
Wichita St., W, H,Creighton
Drake, W, N,Creighton
Indiana St., W, N,Creighton
Wichita St., W, N,Creighton
Cincinnati, W, N,Creighton
Duke, L, N,Creighton
Duquesne, W, H,Georgetown
Liberty, W, H,Georgetown
UCLA, W, N,Georgetown
Indiana, L, N,Georgetown
Mount St. Mary's, W, H,Georgetown
Tennessee, W, H,Georgetown
Texas, W, N,Georgetown
Towson, W, H,Georgetown
Longwood, W, H,Georgetown
Western Carolina, W, H,Georgetown
American, W, H,Georgetown
Marquette, L, A,Georgetown
Pittsburgh, L, H,Georgetown
St. John's, W, A,Georgetown
Providence, W, H,Georgetown
South Florida, L, A,Georgetown
Notre Dame, W, A,Georgetown
Louisville, W, H,Georgetown
Seton Hall, W, H,Georgetown
St. John's, W, H,Georgetown
Rutgers, W, A,Georgetown
Marquette, W, H,Georgetown
Cincinnati, W, A,Georgetown
DePaul, W, H,Georgetown
Syracuse, W, A,Georgetown
Connecticut, W, A,Georgetown
Rutgers, W, H,Georgetown
Villanova, L, A,Georgetown
Syracuse, W, H,Georgetown
Cincinnati, W, N,Georgetown
Syracuse, L, N,Georgetown
Florida Gulf Coast, L, N,Georgetown
North Carolina Central, W, H,Wichita St.
VCU, W, A,Wichita St.
Western Carolina, W, H,Wichita St.
Howard, W, H,Wichita St.
DePaul, W, N,Wichita St.
Iowa, W, N,Wichita St.
Tulsa, W, H,Wichita St.
Air Force, W, A,Wichita St.
Northern Colorado, W, H,Wichita St.
Tennessee, L, A,Wichita St.
Charleston Southern, W, H,Wichita St.
Southern Miss, W, H,Wichita St.
Northern Iowa, W, H,Wichita St.
Drake, W, A,Wichita St.
Bradley, W, A,Wichita St.
Southern Illinois, W, H,Wichita St.
Evansville, L, A,Wichita St.
Illinois St., W, H,Wichita St.
Creighton, W, H,Wichita St.
Missouri St., W, A,Wichita St.
Bradley, W, H,Wichita St.
Indiana St., L, H,Wichita St.
Northern Iowa, L, A,Wichita St.
Southern Illinois, L, A,Wichita St.
Missouri St., W, H,Wichita St.
Drake, W, H,Wichita St.
Illinois St., W, A,Wichita St.
Indiana St., W, A,Wichita St.
Detroit, W, H,Wichita St.
Evansville, L, H,Wichita St.
Creighton, L, A,Wichita St.
Missouri St., W, N,Wichita St.
Illinois St., W, N,Wichita St.
Creighton, L, N,Wichita St.
Pittsburgh, W, N,Wichita St.
Gonzaga, W, N,Wichita St.
La Salle, W, N,Wichita St.
Ohio St., W, N,Wichita St.
Louisville, L, N,Wichita St.
Florida Gulf Coast, W, H,VCU
Wichita St., L, H,VCU
Winthrop, W, A,VCU
Memphis, W, N,VCU
Duke, L, N,VCU
Missouri, L, N,VCU
Stetson, W, H,VCU
Belmont, W, H,VCU
Old Dominion, W, A,VCU
Alabama, W, H,VCU
Western Kentucky, W, H,VCU
Longwood, W, H,VCU
Fairleigh Dickinson, W, H,VCU
East Tennessee St., W, A,VCU
Lehigh, W, H,VCU
Dayton, W, H,VCU
St. Bonaventure, W, A,VCU
Saint Joseph's, W, H,VCU
Duquesne, W, A,VCU
Richmond, L, A,VCU
La Salle, L, H,VCU
Rhode Island, W, A,VCU
Fordham, W, H,VCU
Charlotte, W, A,VCU
Massachusetts, W, H,VCU
George Washington, W, H,VCU
Saint Louis, L, A,VCU
Xavier, W, A,VCU
Butler, W, H,VCU
Richmond, W, H,VCU
Temple, L, A,VCU
Saint Joseph's, W, N,VCU
Massachusetts, W, N,VCU
Saint Louis, L, N,VCU
Akron, W, N,VCU
Michigan, L, N,VCU
USC Upstate, W, H,Saint Louis
Santa Clara, L, H,Saint Louis
Texas A&M, W, N,Saint Louis
Kansas, L, A,Saint Louis
Southern Illinois, W, H,Saint Louis
Washington, L, A,Saint Louis
Valparaiso, W, H,Saint Louis
North Texas, W, H,Saint Louis
Tennessee Martin, W, H,Saint Louis
Eastern Illinois, W, H,Saint Louis
Loyola Marymount, W, H,Saint Louis
SIU Edwardsville, W, H,Saint Louis
New Mexico, W, H,Saint Louis
Savannah St., W, H,Saint Louis
Massachusetts, W, H,Saint Louis
Temple, L, A,Saint Louis
Rhode Island, L, H,Saint Louis
Duquesne, W, A,Saint Louis
St. Bonaventure, W, A,Saint Louis
Butler, W, H,Saint Louis
Dayton, W, H,Saint Louis
Fordham, W, A,Saint Louis
Richmond, W, A,Saint Louis
Charlotte, W, H,Saint Louis
VCU, W, H,Saint Louis
Butler, W, A,Saint Louis
Saint Joseph's, W, H,Saint Louis
George Washington, W, A,Saint Louis
Xavier, L, A,Saint Louis
La Salle, W, H,Saint Louis
Charlotte, W, N,Saint Louis
Butler, W, N,Saint Louis
VCU, W, N,Saint Louis
New Mexico St., W, N,Saint Louis
Oregon, L, N,Saint Louis
American, W, H,Minnesota
Toledo, W, H,Minnesota
Tennessee St., W, H,Minnesota
Richmond, W, H,Minnesota
Duke, L, N,Minnesota
Memphis, W, N,Minnesota
Stanford, W, N,Minnesota
Florida St., W, A,Minnesota
North Florida, W, H,Minnesota
South Dakota St., W, H,Minnesota
USC, W, A,Minnesota
North Dakota St., W, H,Minnesota
Lafayette, W, H,Minnesota
Michigan St., W, H,Minnesota
Northwestern, W, H,Minnesota
Illinois, W, A,Minnesota
Indiana, L, A,Minnesota
Michigan, L, H,Minnesota
Northwestern, L, A,Minnesota
Wisconsin, L, A,Minnesota
Nebraska, W, H,Minnesota
Iowa, W, H,Minnesota
Michigan St., L, A,Minnesota
Illinois, L, H,Minnesota
Wisconsin, W, H,Minnesota
Iowa, L, A,Minnesota
Ohio St., L, A,Minnesota
Indiana, W, H,Minnesota
Penn St., W, H,Minnesota
Nebraska, L, A,Minnesota
Purdue, L, A,Minnesota
Illinois, L, N,Minnesota
UCLA, W, N,Minnesota
Florida, L, N,Minnesota
Utah St., W, A,Saint Mary's
Eastern Washington, W, H,Saint Mary's
Drexel, W, N,Saint Mary's
Pacific, L, N,Saint Mary's
Georgia Tech, L, N,Saint Mary's
Cal Poly, W, H,Saint Mary's
Drake, W, A,Saint Mary's
Jackson St., W, H,Saint Mary's
Pacific, W, H,Saint Mary's
Northern Iowa, L, A,Saint Mary's
Rhode Island, W, H,Saint Mary's
Yale, W, H,Saint Mary's
Harvard, W, H,Saint Mary's
Loyola Marymount, W, H,Saint Mary's
Gonzaga, L, A,Saint Mary's
San Francisco, W, H,Saint Mary's
BYU, W, A,Saint Mary's
Portland, W, A,Saint Mary's
San Diego, W, H,Saint Mary's
Pepperdine, W, H,Saint Mary's
San Francisco, W, A,Saint Mary's
Portland, W, H,Saint Mary's
Santa Clara, W, A,Saint Mary's
San Diego, W, A,Saint Mary's
Gonzaga, L, H,Saint Mary's
Loyola Marymount, W, A,Saint Mary's
BYU, W, H,Saint Mary's
Creighton, W, H,Saint Mary's
Pepperdine, W, A,Saint Mary's
Santa Clara, W, H,Saint Mary's
San Diego, W, N,Saint Mary's
Gonzaga, L, N,Saint Mary's
Middle Tennessee, W, N,Saint Mary's
Memphis, L, N,Saint Mary's
Montana, W, H,Colorado St.
Denver, W, A,Colorado St.
Washington, W, A,Colorado St.
Northern Colorado, W, H,Colorado St.
Evansville, W, H,Colorado St.
Colorado, L, A,Colorado St.
Illinois Chicago, L, A,Colorado St.
North Florida, W, H,Colorado St.
Cal St. Bakersfield, W, H,Colorado St.
Portland, W, N,Colorado St.
Virginia Tech, W, N,Colorado St.
UTEP, W, H,Colorado St.
St. Bonaventure, W, H,Colorado St.
San Diego St., L, A,Colorado St.
Air Force, W, H,Colorado St.
UNLV, W, H,Colorado St.
New Mexico, L, A,Colorado St.
Fresno St., W, A,Colorado St.
Boise St., W, H,Colorado St.
Wyoming, W, H,Colorado St.
Nevada, W, A,Colorado St.
San Diego St., W, H,Colorado St.
Air Force, W, A,Colorado St.
UNLV, L, A,Colorado St.
New Mexico, L, H,Colorado St.
Fresno St., W, H,Colorado St.
Boise St., L, A,Colorado St.
Wyoming, W, A,Colorado St.
Nevada, W, H,Colorado St.
Fresno St., W, N,Colorado St.
UNLV, L, A,Colorado St.
Missouri, W, N,Colorado St.
Louisville, L, A,Colorado St.
Davidson, W, H,New Mexico
Illinois Chicago, W, N,New Mexico
George Mason, W, N,New Mexico
Connecticut, W, N,New Mexico
Idaho, W, H,New Mexico
Portland, W, H,New Mexico
Mercer, W, H,New Mexico
Indiana St., W, A,New Mexico
USC, W, H,New Mexico
Valparaiso, W, H,New Mexico
New Mexico St., W, H,New Mexico
New Mexico St., W, A,New Mexico
South Dakota St., L, H,New Mexico
Cincinnati, W, A,New Mexico
Saint Louis, L, A,New Mexico
UNLV, W, H,New Mexico
Fresno St., W, H,New Mexico
Boise St., W, A,New Mexico
Colorado St., W, H,New Mexico
San Diego St., L, A,New Mexico
Wyoming, W, A,New Mexico
Nevada, W, H,New Mexico
Air Force, W, H,New Mexico
UNLV, L, A,New Mexico
Fresno St., W, A,New Mexico
Boise St., W, H,New Mexico
Colorado St., W, A,New Mexico
San Diego St., W, H,New Mexico
Wyoming, W, H,New Mexico
Nevada, W, A,New Mexico
Air Force, L, A,New Mexico
Wyoming, W, N,New Mexico
San Diego St., W, N,New Mexico
UNLV, W, A,New Mexico
Harvard, L, N,New Mexico
UC Davis, W, H,Oklahoma St.
Akron, W, N,Oklahoma St.
Tennessee, W, N,Oklahoma St.
North Carolina St., W, N,Oklahoma St.
Portland St., W, H,Oklahoma St.
Virginia Tech, L, A,Oklahoma St.
South Florida, W, H,Oklahoma St.
Missouri St., W, H,Oklahoma St.
Central Arkansas, W, H,Oklahoma St.
UT Arlington, W, H,Oklahoma St.
Tennessee Tech, W, H,Oklahoma St.
Gonzaga, L, H,Oklahoma St.
Kansas St., L, A,Oklahoma St.
TCU, W, H,Oklahoma St.
Oklahoma, L, A,Oklahoma St.
Texas Tech, W, H,Oklahoma St.
Baylor, L, A,Oklahoma St.
West Virginia, W, H,Oklahoma St.
Iowa St., W, H,Oklahoma St.
Kansas, W, A,Oklahoma St.
Baylor, W, H,Oklahoma St.
Texas, W, A,Oklahoma St.
Texas Tech, W, A,Oklahoma St.
Oklahoma, W, H,Oklahoma St.
Kansas, L, H,Oklahoma St.
West Virginia, W, A,Oklahoma St.
TCU, W, A,Oklahoma St.
Texas, W, H,Oklahoma St.
Iowa St., L, A,Oklahoma St.
Kansas St., W, H,Oklahoma St.
Baylor, W, N,Oklahoma St.
Kansas St., L, N,Oklahoma St.
Oregon, L, N,Oklahoma St.
SIU Edwardsville, W, H,Missouri
Alcorn St., W, H,Missouri
Nicholls St., W, H,Missouri
Stanford, W, N,Missouri
Louisville, L, N,Missouri
VCU, W, N,Missouri
Appalachian St., W, H,Missouri
Southeast Missouri St., W, H,Missouri
Tennessee St., W, H,Missouri
South Carolina St., W, H,Missouri
Illinois, W, N,Missouri
UCLA, L, A,Missouri
Bucknell, W, H,Missouri
Alabama, W, H,Missouri
Mississippi, L, A,Missouri
Georgia, W, H,Missouri
Florida, L, A,Missouri
South Carolina, W, H,Missouri
Vanderbilt, W, H,Missouri
LSU, L, A,Missouri
Auburn, W, H,Missouri
Texas A&M, L, A,Missouri
Mississippi, W, H,Missouri
Mississippi St., W, A,Missouri
